Image_A,Image_B,FKD_Score
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,172.14567366243836
IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,174.3784180871328
IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,175.28195478957565
IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,178.2832098776882
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,178.41542866315172
IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,181.3334057181557
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,184.32450725878937
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_STD_202305170722489_PAN_ORT_PWOI_000373521_3_2_F_1_P_R4C1,195.4292443767211
IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,198.7682077192011
IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,198.86877597544122
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,209.26781639861656
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,211.79904642466028
IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,Nosy_boraha_south,213.7694960540747
IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,219.67606991387777
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,220.08743031588386
IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,223.20598045544398
IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,224.0323751781657
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,231.48367701057464
IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,237.68864615811975
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO3_STD_202305170722489_PAN_ORT_PWOI_000373521_3_2_F_1_P_R4C1,241.70820766028902
IMG_PNEO3_STD_202305170722489_PAN_ORT_PWOI_000373521_3_2_F_1_P_R4C1,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,242.20525023526432
IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,245.07973681203867
IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,264.30150733422244
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,266.37113895213326
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,270.5211813713056
IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,Nosy_boraha_south,273.7952921843048
IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,284.44020393420504
IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,307.45978178869484
IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,326.67395844963704
IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,342.77392133637704
IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,Nosy_boraha_south,350.89300256404294
IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,370.60703812902955
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,376.2220278977112
IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,392.16243006849066
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,430.8090705476804
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,461.38831397811293
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,506.11642851081797
